dataset,dataset_label,sex,sub_key,sub_label,age_key,age_label,disclosure_min_n,n_initial,n_final,n_removed,issue_type,from_axis,to_axis,from_state,to_state,cell_n,n_minors,n_adults,pct_minors,contains_minors
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,No visit,SUD2+_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD0_F2+,SUD2+_F2+,9,2,7,22.2,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F0,SUD0_F2+,7,0,7,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F1,SUD1_F0,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F1,SUD2+_F1,6,0,6,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F1,SUD2+_F2+,6,1,5,16.7,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F2+,SUD1_F0,7,1,6,14.3,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F2+,SUD1_F1,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F2+,SUD2+_F0,5,1,4,20,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD1_F2+,SUD2+_F2+,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F0,SUD0_F1,7,1,6,14.3,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F0,SUD1_F1,8,1,7,12.5,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F0,SUD2+_F2+,7,0,7,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F1,SUD1_F2+,6,1,5,16.7,TRUE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F2+,SUD1_F0,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F2+,SUD1_F1,6,0,6,0,FALSE
all,All,All,F15,F15 (Other stimulants),all,All ages,5,2927,2868,59,flow,post1,post2,SUD2+_F2+,SUD2+_F1,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,pre,index,No visit,SUD2+_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,pre,index,SUD0_F2+,SUD2+_F2+,9,0,9,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD1_F2+,SUD2+_F2+,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F0,SUD0_F2+,7,0,7,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F0,SUD1_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F1,SUD0_F1,6,0,6,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F1,SUD0_F2+,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F1,SUD1_F1,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F1,SUD1_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F1,SUD2+_F2+,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F2+,SUD0_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,index,post1,SUD2+_F2+,SUD2+_F2+,9,0,9,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,No visit,SUD1_F2+,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,No visit,SUD2+_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD0_F1,SUD1_F1,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD0_F1,SUD1_F2+,9,0,9,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD0_F2+,SUD2+_F2+,7,0,7,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F0,SUD0_F2+,7,0,7,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F1,SUD1_F0,8,0,8,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F1,SUD2+_F1,6,0,6,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F1,SUD2+_F2+,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F2+,SUD1_F0,6,0,6,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F2+,SUD1_F1,5,0,5,0,FALSE
all,All,All,F15,F15 (Other stimulants),18-25,18-25,5,2411,2346,65,flow,post1,post2,SUD1_F2+,SUD2+_F2+,8,0,8,0,FALSE
